Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,5.0,15.655,328.755,3/10/2019,7:15:00 PM,Ewallet,313.1,4.761904762,15.655,7.0
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,9.0,27.396,575.316,1/15/2019,5:17:00 PM,Ewallet,547.92,4.761904762,27.396,4.7
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,8.0,21.968,461.328,3/23/2019,1:24:00 PM,Ewallet,439.36,4.761904762,21.968,7.6
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,8.0,12.048,253.008,3/3/2019,1:01:00 PM,Cash,240.96,4.761904762,12.048,7.7
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,1.0,4.336,91.056,1/17/2019,6:45:00 PM,Ewallet,86.72,4.761904762,4.336,7.9
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,2.0,5.611,117.831,2/2/2019,10:11:00 AM,Cash,112.22,4.761904762,5.611,6.3
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,6.0,20.736,435.456,2/8/2019,1:03:00 PM,Cash,414.72,4.761904762,20.736,5.6
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,8.0,39.48,829.08,3/4/2019,8:39:00 PM,Cash,789.6,4.761904762,39.48,7.6
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,2.0,1.537,32.277,3/16/2019,7:47:00 PM,Cash,30.74,4.761904762,1.537,7.2
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,4.0,18.792,394.632,3/9/2019,6:00:00 PM,Cash,375.84,4.761904762,18.792,9.5
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,9.0,25.5105,535.7205,2/27/2019,5:24:00 PM,Credit card,510.21,4.761904762,25.5105,8.4
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,9.0,9.0045,189.0945,2/6/2019,3:47:00 PM,Ewallet,180.09,4.761904762,9.0045,4.1
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,6.0,5.679,119.259,2/10/2019,12:45:00 PM,Credit card,113.58,4.761904762,5.679,8.1
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,10.0,41.315,867.615,3/19/2019,5:08:00 PM,Ewallet,826.3,4.761904762,41.315,7.9
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,7.0,31.99,671.79,2/3/2019,10:19:00 AM,Cash,639.8,4.761904762,31.99,9.5
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,5.0,11.1475,234.0975,2/10/2019,3:10:00 PM,Cash,222.95,4.761904762,11.1475,8.5
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,4.0,3.574,75.054,3/22/2019,2:42:00 PM,Ewallet,71.48,4.761904762,3.574,6.5
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,1.0,0.7715,16.2015,1/25/2019,3:46:00 PM,Credit card,15.43,4.761904762,0.7715,6.1
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,2.0,1.616,33.936,3/7/2019,11:49:00 AM,Ewallet,32.32,4.761904762,1.616,6.5
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,8.0,34.392,722.232,2/28/2019,7:01:00 PM,Cash,687.84,4.761904762,34.392,8.2
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,2.0,4.434,93.114,3/27/2019,11:26:00 AM,Cash,88.68,4.761904762,4.434,5.8
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,8.0,35.84,752.64,2/7/2019,11:28:00 AM,Ewallet,716.8,4.761904762,35.84,6.6
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,10.0,36.175,759.675,1/20/2019,3:55:00 PM,Cash,723.5,4.761904762,36.175,5.4
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,6.0,9.183,192.843,3/12/2019,8:36:00 PM,Cash,183.66,4.761904762,9.183,9.3
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,3.0,3.711,77.931,2/15/2019,5:47:00 PM,Credit card,74.22,4.761904762,3.711,10.0
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,6.0,16.719,351.099,2/24/2019,10:55:00 AM,Ewallet,334.38,4.761904762,16.719,7.0
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,9.0,24.7815,520.4115,2/3/2019,1:40:00 PM,Ewallet,495.63,4.761904762,24.7815,10.0
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,10.0,7.905,166.005,3/6/2019,12:27:00 PM,Credit card,158.1,4.761904762,7.905,8.6
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,4.0,15.148,318.108,2/14/2019,2:35:00 PM,Cash,302.96,4.761904762,15.148,7.6
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,10.0,7.935,166.635,3/13/2019,4:40:00 PM,Cash,158.7,4.761904762,7.935,5.8
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,2.0,3.347,70.287,2/10/2019,3:43:00 PM,Ewallet,66.94,4.761904762,3.347,6.7
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,6.0,29.283,614.943,1/7/2019,3:01:00 PM,Ewallet,585.66,4.761904762,29.283,9.9
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,10.0,39.385,827.085,1/24/2019,10:04:00 AM,Cash,787.7,4.761904762,39.385,6.4
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,1.0,0.9165,19.2465,2/2/2019,6:50:00 PM,Cash,18.33,4.761904762,0.9165,4.3
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,10.0,44.74,939.54,1/6/2019,12:46:00 PM,Credit card,894.8,4.761904762,44.74,9.6
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,10.0,31.06,652.26,2/11/2019,4:19:00 PM,Cash,621.2,4.761904762,31.06,5.9
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,3.0,7.278,152.838,3/5/2019,6:17:00 PM,Ewallet,145.56,4.761904762,7.278,4.0
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,6.0,22.773,478.233,3/9/2019,6:21:00 PM,Cash,455.46,4.761904762,22.773,8.7
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,9.0,33.6015,705.6315,1/22/2019,10:55:00 AM,Ewallet,672.03,4.761904762,33.6015,9.4
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,10.0,20.825,437.325,1/13/2019,5:04:00 PM,Credit card,416.5,4.761904762,20.825,5.4
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,9.0,22.068,463.428,1/9/2019,2:20:00 PM,Credit card,441.36,4.761904762,22.068,8.6
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,9.0,9.0045,189.0945,1/12/2019,3:48:00 PM,Credit card,180.09,4.761904762,9.0045,5.7
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,10.0,39.155,822.255,3/5/2019,4:24:00 PM,Ewallet,783.1,4.761904762,39.155,6.6
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,5.0,5.095,106.995,1/22/2019,6:56:00 PM,Cash,101.9,4.761904762,5.095,6.0
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,6.0,29.757,624.897,1/21/2019,2:42:00 PM,Credit card,595.14,4.761904762,29.757,5.5
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,3.0,14.502,304.542,1/26/2019,7:56:00 PM,Ewallet,290.04,4.761904762,14.502,6.4
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,8.0,7.7,161.7,1/23/2019,6:37:00 PM,Ewallet,154.0,4.761904762,7.7,6.6
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,4.0,16.072,337.512,2/23/2019,6:45:00 PM,Credit card,321.44,4.761904762,16.072,8.3
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,5.0,12.2275,256.7775,3/9/2019,10:17:00 AM,Cash,244.55,4.761904762,12.2275,6.6
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,7.0,29.071,610.491,3/5/2019,2:31:00 PM,Ewallet,581.42,4.761904762,29.071,4.0
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,5.0,19.13,401.73,3/25/2019,10:23:00 AM,Cash,382.6,4.761904762,19.13,9.9
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,7.0,17.283,362.943,3/27/2019,8:35:00 PM,Credit card,345.66,4.761904762,17.283,7.3
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,1.0,2.1235,44.5935,1/2/2019,4:57:00 PM,Cash,42.47,4.761904762,2.1235,5.7
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,6.0,23.097,485.037,2/27/2019,5:55:00 PM,Cash,461.94,4.761904762,23.097,6.1
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,4.0,9.476,198.996,1/23/2019,10:25:00 AM,Cash,189.52,4.761904762,9.476,7.1
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,10.0,22.43,471.03,1/26/2019,7:54:00 PM,Ewallet,448.6,4.761904762,22.43,8.2
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,7.0,7.693,161.553,1/10/2019,4:42:00 PM,Ewallet,153.86,4.761904762,7.693,5.1
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,9.0,28.962,608.202,3/12/2019,12:09:00 PM,Credit card,579.24,4.761904762,28.962,8.6
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,1.0,4.4875,94.2375,2/6/2019,8:05:00 PM,Credit card,89.75,4.761904762,4.4875,6.6
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,1.0,4.858,102.018,3/8/2019,8:38:00 PM,Ewallet,97.16,4.761904762,4.858,7.2
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,10.0,43.935,922.635,3/29/2019,10:25:00 AM,Ewallet,878.7,4.761904762,43.935,5.1
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,6.0,3.735,78.435,2/9/2019,1:11:00 PM,Cash,74.7,4.761904762,3.735,4.1
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,3.0,7.9125,166.1625,3/23/2019,10:16:00 AM,Ewallet,158.25,4.761904762,7.9125,9.3
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,6.0,24.81,521.01,3/5/2019,6:14:00 PM,Cash,496.2,4.761904762,24.81,7.4
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,1.0,2.4355,51.1455,3/26/2019,7:20:00 PM,Cash,48.71,4.761904762,2.4355,4.1
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,9.0,35.3475,742.2975,3/1/2019,1:22:00 PM,Cash,706.95,4.761904762,35.3475,7.2
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,9.0,10.3815,218.0115,2/1/2019,11:27:00 AM,Cash,207.63,4.761904762,10.3815,4.9
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,6.0,17.478,367.038,3/28/2019,4:44:00 PM,Cash,349.56,4.761904762,17.478,9.9
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,7.0,10.6225,223.0725,3/19/2019,6:19:00 PM,Cash,212.45,4.761904762,10.6225,8.0
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,10.0,44.335,931.035,1/12/2019,2:50:00 PM,Ewallet,886.7,4.761904762,44.335,7.3
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,6.0,8.214,172.494,1/5/2019,8:54:00 PM,Credit card,164.28,4.761904762,8.214,7.9
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,6.0,18.639,391.419,3/22/2019,8:19:00 PM,Cash,372.78,4.761904762,18.639,7.4
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,9.0,15.291,321.111,3/24/2019,10:43:00 AM,Cash,305.82,4.761904762,15.291,4.2
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,10.0,40.985,860.685,3/3/2019,2:30:00 PM,Cash,819.7,4.761904762,40.985,9.2
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,2.0,1.649,34.629,2/5/2019,11:32:00 AM,Ewallet,32.98,4.761904762,1.649,4.6
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,3.0,14.7315,309.3615,2/5/2019,10:41:00 AM,Credit card,294.63,4.761904762,14.7315,7.8
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,7.0,25.494,535.374,2/15/2019,12:44:00 PM,Cash,509.88,4.761904762,25.494,8.4
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,9.0,26.1315,548.7615,1/19/2019,8:07:00 PM,Ewallet,522.63,4.761904762,26.1315,4.3
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,9.0,36.3555,763.4655,2/1/2019,8:31:00 PM,Credit card,727.11,4.761904762,36.3555,9.5
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,3.0,4.053,85.113,3/2/2019,1:01:00 PM,Credit card,81.06,4.761904762,4.053,7.1
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,5.0,5.485,115.185,3/5/2019,12:29:00 PM,Ewallet,109.7,4.761904762,5.485,5.3
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,1.0,2.568,53.928,1/16/2019,3:26:00 PM,Ewallet,51.36,4.761904762,2.568,5.2
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,10.0,5.48,115.08,2/2/2019,8:48:00 PM,Ewallet,109.6,4.761904762,5.48,6.0
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,2.0,5.344,112.224,1/20/2019,8:38:00 PM,Ewallet,106.88,4.761904762,5.344,4.1
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,8.0,39.824,836.304,2/14/2019,5:03:00 PM,Credit card,796.48,4.761904762,39.824,5.2
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,7.0,19.992,419.832,1/12/2019,12:02:00 PM,Credit card,399.84,4.761904762,19.992,6.5
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,9.0,44.982,944.622,3/9/2019,5:26:00 PM,Credit card,899.64,4.761904762,44.982,4.2
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,8.0,25.564,536.844,3/13/2019,7:52:00 PM,Credit card,511.28,4.761904762,25.564,4.6
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,8.0,22.588,474.348,3/9/2019,2:57:00 PM,Ewallet,451.76,4.761904762,22.588,7.3
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,7.0,32.7915,688.6215,3/10/2019,6:44:00 PM,Credit card,655.83,4.761904762,32.7915,4.5
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,5.0,8.0625,169.3125,1/27/2019,1:26:00 PM,Cash,161.25,4.761904762,8.0625,9.0
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,9.0,14.2785,299.8485,1/8/2019,4:17:00 PM,Credit card,285.57,4.761904762,14.2785,5.9
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,8.0,27.416,575.736,1/8/2019,3:57:00 PM,Ewallet,548.32,4.761904762,27.416,8.5
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,9.0,40.626,853.146,2/8/2019,11:15:00 AM,Ewallet,812.52,4.761904762,40.626,7.2
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,7.0,13.867,291.207,1/25/2019,1:18:00 PM,Cash,277.34,4.761904762,13.867,7.5
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,6.0,27.639,580.419,3/6/2019,8:34:00 PM,Cash,552.78,4.761904762,27.639,8.3
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,4.0,6.968,146.328,2/10/2019,6:36:00 PM,Cash,139.36,4.761904762,6.968,7.4
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,6.0,26.235,550.935,2/17/2019,2:40:00 PM,Credit card,524.7,4.761904762,26.235,8.8
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,6.0,24.39,512.19,3/8/2019,4:43:00 PM,Ewallet,487.8,4.761904762,24.39,5.3
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,3.0,13.533,284.193,2/18/2019,7:39:00 PM,Cash,270.66,4.761904762,13.533,6.2
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,5.0,6.5775,138.1275,1/18/2019,8:59:00 PM,Credit card,131.55,4.761904762,6.5775,8.8
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,6.0,10.326,216.846,2/18/2019,3:39:00 PM,Cash,206.52,4.761904762,10.326,9.8
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,10.0,25.955,545.055,2/16/2019,12:21:00 PM,Cash,519.1,4.761904762,25.955,8.2
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,8.0,29.0,609.0,3/16/2019,7:25:00 PM,Ewallet,580.0,4.761904762,29.0,9.2
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,10.0,44.9,942.9,1/23/2019,1:00:00 PM,Credit card,898.0,4.761904762,44.9,5.4
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,10.0,45.25,950.25,1/25/2019,1:48:00 PM,Cash,905.0,4.761904762,45.25,8.1
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,10.0,34.3,720.3,2/5/2019,7:57:00 PM,Cash,686.0,4.761904762,34.3,9.1
488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,1.0,1.5205,31.9305,2/22/2019,10:36:00 AM,Credit card,30.41,4.761904762,1.5205,8.4
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,6.0,23.385,491.085,1/21/2019,4:37:00 PM,Ewallet,467.7,4.761904762,23.385,8.0
458-41-1477,Giza,Naypyitaw,Normal,Female,Health and beauty,46.26,6.0,13.878,291.438,3/8/2019,5:11:00 PM,Credit card,277.56,4.761904762,13.878,9.5
685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,10.0,15.07,316.47,2/10/2019,12:28:00 PM,Ewallet,301.4,4.761904762,15.07,9.2
568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,4.0,13.228,277.788,3/19/2019,12:46:00 PM,Credit card,264.56,4.761904762,13.228,5.6
262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,8.0,28.744,603.624,3/6/2019,3:07:00 PM,Credit card,574.88,4.761904762,28.744,6.2
238-49-0436,Alex,Yangon,Normal,Male,Health and beauty,32.46,8.0,12.984,272.664,3/27/2019,1:48:00 PM,Credit card,259.68,4.761904762,12.984,4.9
608-96-3517,Cairo,Mandalay,Member,Female,Fashion accessories,91.54,4.0,18.308,384.468,3/23/2019,7:20:00 PM,Credit card,366.16,4.761904762,18.308,4.8
584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,7.0,12.096,254.016,3/11/2019,4:07:00 PM,Credit card,241.92,4.761904762,12.096,7.3
746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,9.0,37.458,786.618,1/29/2019,11:56:00 AM,Credit card,749.16,4.761904762,37.458,7.4
214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,6.0,4.944,103.824,2/7/2019,6:23:00 PM,Ewallet,98.88,4.761904762,4.944,9.9
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,8.0,32.388,680.148,1/28/2019,1:05:00 PM,Cash,647.76,4.761904762,32.388,9.3
782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,5.0,23.0725,484.5225,2/20/2019,3:55:00 PM,Credit card,461.45,4.761904762,23.0725,9.0
279-74-2924,Cairo,Mandalay,Member,Male,Electronic accessories,72.17,1.0,3.6085,75.7785,1/4/2019,7:40:00 PM,Cash,72.17,4.761904762,3.6085,6.1
307-85-2293,Cairo,Mandalay,Normal,Male,Home and lifestyle,50.28,5.0,12.57,263.97,3/7/2019,1:58:00 PM,Ewallet,251.4,4.761904762,12.57,9.7
